Objects
200
,,Global Angle firefly_blue:firefly_blue,,,,,,Global Angle testBalls:testBalls,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,,,,,,,-0.027032,-0.0183312,0.113979,-870.769,-685.234,51.7405
2,0,,,,,,,-0.0319811,-0.0173304,0.117216,-870.794,-684.859,51.7786
3,0,,,,,,,-0.0311314,-0.0167454,0.116498,-870.809,-684.83,51.597
4,0,,,,,,,-0.0292973,-0.0171104,0.116127,-870.83,-684.729,51.3681
5,0,,,,,,,-0.0267941,-0.0156179,0.116242,-870.818,-684.844,51.3595
6,0,,,,,,,-0.0265616,-0.0156433,0.115665,-870.84,-684.985,51.4495
7,0,,,,,,,-0.0236221,-0.0154361,0.119586,-870.717,-685.174,51.4043
8,0,,,,,,,-0.0258188,-0.0144333,0.117674,-870.778,-685.001,51.405
9,0,,,,,,,-0.0253244,-0.0134012,0.118386,-870.784,-684.823,51.1997
10,0,,,,,,,-0.0246569,-0.0145893,0.115798,-870.761,-684.899,51.1478
11,0,,,,,,,-0.0263338,-0.0161032,0.116117,-870.74,-684.882,51.2658
12,0,,,,,,,-0.0254875,-0.0172724,0.115335,-870.764,-684.993,51.406
13,0,,,,,,,-0.0281952,-0.0182572,0.11469,-870.771,-685.1,51.6074
14,0,,,,,,,-0.0283343,-0.0182267,0.114451,-870.815,-685.06,51.6097
15,0,,,,,,,-0.0263671,-0.0170828,0.114066,-870.842,-684.989,51.4172
16,0,,,,,,,-0.0268799,-0.0164183,0.114429,-870.853,-684.885,51.3576
17,0,,,,,,,-0.0253699,-0.015697,0.114739,-870.808,-684.978,51.2708
18,0,,,,,,,-0.0259822,-0.0159476,0.114941,-870.822,-685.064,51.3741
19,0,,,,,,,0.00717217,-0.052584,-3.00999,-872.577,-684.136,50.7955
20,0,,,,,,,0.00842824,-0.0552389,-3.00802,-872.578,-684.113,50.842
21,0,,,,,,,0.0143939,-0.0564987,-3.01567,-872.415,-684.392,50.7855
22,0,,,,,,,0.0135104,-0.0535207,-3.01601,-872.44,-684.198,50.6678
23,0,,,,,,,0.0119799,-0.0510167,-3.01601,-872.445,-684.159,50.7297
24,0,,,,,,,0.00955381,-0.0493674,-3.01565,-872.432,-684.242,50.9066
25,0,,,,,,,0.00188865,-0.0646645,-3.01398,-872.031,-683.551,51.7579
26,0,,,,,,,0.000752489,-0.0641035,-3.01376,-872.018,-683.74,51.6833
27,0,,,,,,,-0.0101061,-0.0561699,-3.0149,-872.128,-683.738,51.6275
28,0,,,,,,,-0.0192218,-0.0518562,-3.01728,-872.177,-683.649,51.4768
29,0,,,,,,,-0.0288807,-0.0457049,-3.01682,-872.212,-683.619,51.2331
30,0,,,,,,,-0.038376,-0.0393442,-3.01727,-872.275,-683.588,50.9705
31,0,,,,,,,-0.045581,-0.0354653,-3.01698,-872.31,-683.665,50.9907
32,0,,,,,,,-0.0494672,-0.0341665,-3.01714,-872.297,-683.782,51.0999
33,0,,,,,,,-0.0545191,-0.0319768,-3.01865,-872.329,-683.796,51.203
34,0,,,,,,,-0.0534225,-0.034498,-3.01761,-872.345,-683.769,51.2117
35,0,,,,,,,-0.054726,-0.0288353,-3.01905,-872.416,-683.77,51.1405
36,0,,,,,,,-0.0590756,-0.0215552,-3.01903,-872.432,-683.715,51.0467
37,0,,,,,,,-0.0623941,-0.0189301,-3.01954,-872.482,-683.734,51.0964
38,0,,,,,,,-0.0629906,-0.0152805,-3.01943,-872.438,-683.986,51.1856
39,0,,,,,,,-0.060609,-0.0198011,-3.0198,-872.479,-684.141,51.3484
40,0,,,,,,,-0.0630097,-0.0191134,-3.02027,-872.485,-684.222,51.3932
41,0,,,,,,,-0.065575,-0.0129265,-3.0199,-872.474,-684.151,51.162
42,0,,,,,,,-0.0703964,-0.00814573,-3.01853,-872.508,-683.966,50.9044
43,0,,,,,,,-0.0720499,-0.00196628,-3.01763,-872.518,-683.884,50.7178
44,0,,,,,,,-0.071195,-0.000107239,-3.01896,-872.437,-684.164,50.7689
45,0,,,,,,,-0.0639118,-0.00350136,-3.02003,-872.473,-684.367,50.9204
46,0,,,,,,,-0.0604581,-0.0048891,-3.02072,-872.493,-684.524,51.1215
47,0,,,,,,,-0.0585137,-0.00502781,-3.02088,-872.512,-684.636,51.1047
48,0,,,,,,,-0.0609292,0.00133338,-3.02066,-872.563,-684.535,50.9649
49,0,,,,,,,-0.060806,0.00162816,-3.02067,-872.621,-684.437,50.757
50,0,,,,,,,-0.0635446,0.00430754,-3.02059,-872.655,-684.434,50.743
51,0,,,,,,,-0.0592965,0.00244249,-3.02091,-872.611,-684.647,50.8161
52,0,,,,,,,-0.059055,0.000687214,-3.02141,-872.637,-684.788,50.9178
53,0,,,,,,,-0.041057,-0.0183204,-3.01949,-872.702,-684.646,50.6138
54,0,,,,,,,-0.0441568,-0.0161187,-3.01896,-872.725,-684.487,50.4445
55,0,,,,,,,-0.0455068,-0.0137628,-3.01836,-872.701,-684.355,50.281
56,0,,,,,,,-0.0462534,-0.0147374,-3.01852,-872.713,-684.216,50.2765
57,0,,,,,,,-0.0393127,-0.0211468,-3.01914,-872.712,-684.293,50.4199
58,0,,,,,,,-0.0386347,-0.0206029,-3.01917,-872.672,-684.518,50.6455
59,0,,,,,,,-0.0349486,-0.0234153,-3.01983,-872.72,-684.592,50.7444
60,0,,,,,,,-0.0378615,-0.020616,-3.02003,-872.719,-684.531,50.6657
61,0,,,,,,,-0.0420097,-0.0159547,-3.01866,-872.741,-684.406,50.4879
62,0,,,,,,,-0.0438428,-0.0157057,-3.01893,-872.77,-684.31,50.3577
63,0,,,,,,,-0.0443143,-0.0151354,-3.01871,-872.734,-684.405,50.3919
64,0,,,,,,,-0.0381322,-0.0222529,-3.01944,-872.721,-684.527,50.5199
65,0,,,,,,,-0.0358899,-0.0241157,-3.01905,-872.71,-684.61,50.5475
66,0,,,,,,,-0.0404648,-0.0187293,-3.01859,-872.688,-684.569,50.4539
67,0,,,,,,,-0.0435228,-0.018104,-3.01877,-872.707,-684.393,50.3079
68,0,,,,,,,-0.0444242,-0.0169284,-3.01871,-872.699,-684.277,50.2435
69,0,,,,,,,-0.037875,-0.0219134,-3.01903,-872.683,-684.316,50.3375
70,0,,,,,,,-0.0518907,-0.0312147,0.127262,-871.105,-684.663,51.4695
71,0,,,,,,,-0.0521206,-0.0327061,0.127072,-871.122,-684.803,51.6084
72,0,,,,,,,-0.0552248,-0.0333851,0.128602,-871.12,-684.721,51.5808
73,0,,,,,,,-0.0532762,-0.0328134,0.127843,-871.123,-684.66,51.4586
